codigo_mao_de_obra;descricao;unidade;operacao;ups;tipo
7036;EFET MANOBRA CHAV FACA AB/FEC LM;UN;INSTALAR;1; LM 
6255;EFET MAN CX CP REDE LM;UN;INSTALAR;1.3; LM 
6982;EFETUAR MEDICAO ATERR TRANSFORMADOR;UN;INSTALAR;1.3; LM 
7038;EFET MED INSTANT TRANSFORM LM;UN;INSTALAR;1.3; LM 
6379;ELAB PLANO CONTR AMB C/DES LM;KM;INSTALAR;15; LM 
6380;ELAB PLANO CONTR AMB S/DES LM;KM;INSTALAR;13; LM 
6381;EMEND CABO MENS REDE COMPACTA LM;UN;INSTALAR;1; LM 
6382;EMEND CABO MULTIP LM;UN;INSTALAR;1; LM 
6318;EMEND COND PRIM PROTEG LM;UN;INSTALAR;1; LM 
92324;HORA DO COLABORADOR EM DISPONIBILIDADE PARA OUTRA REGIONAL - LM;UN;INSTALAR;0.91; LM 
6415;INSPEC RDU P/LOCALIZ DEF LM;KM;INSTALAR;1.3; LM 
6412;INSPEC ESTR RDR P/MANUT PREV LM;POSTE;INSTALAR;0.28; LM 
6413;INSPEC ESTR RDU P/MANUT PREV LM;POSTE;INSTALAR;0.28; LM 
6414;INSPEC LDR P/LOCALIZ DEF LM;KM;INSTALAR;2.1; LM 
6299;INSPEC POST TRAN RUR LM;UN;INSTALAR;0.9; LM 
6641;SERV PROJ INSPECIONAR REDE RURAL KM;POS;INSTALAR;0.34; LM 
6633;INST CABO ALUM NU  =< 2/0AWG LM;KM;INSTALAR;23; LM 
6632;INST CABO ALUM NU > 2/0 LM;KM;INSTALAR;28; LM 
6220;INST CAIXA MED CPREDE 1 MEDID ELETROM LM;UN;INSTALAR;1.5; LM 
6221;INST CAIXA MED CP-REDE CONEX/RAMAIS LM;UN;INSTALAR;3.55; LM 
6475;INST CB MENSAG REDE PROTEG CORDO9,5MM LM;KM;INSTALAR;28; LM 
6069;INST CH SECC S/LAM TER MONO MAN <69KV;UN;INSTALAR;1; LM 
6073;INST CHAVE FUSIVEL 3 OP < 34,5 KV;CJ;INSTALAR;1.3; LM 
6074;INST CHAVE FUSIVEL 3 OP => 34,5 KV;CJ;INSTALAR;1.3; LM 
6405;INST COBERTURA REDE MT/FASE LM;VAO;INSTALAR;1.5; LM 
6572;INST ESPAC REDE BT TUBO DE PVC LM;UN;INSTALAR;0.15; LM 
6573;INST ESTR PRIM CE1-A LM;UN;INSTALAR;2; LM 
6575;INST ESTR PRIM CE2 LM;UN;INSTALAR;2; LM 
6577;INST ESTR PRIM CE3 LM;UN;INSTALAR;5; LM 
6656;INST ESTRUT PRIM N23/M23/B23 LM;UN;INSTALAR;5; LM 
6311;INST ISOLADOR DISCO LM;UN;INSTALAR;0.5; LM 
6431;INST ISOLADOR PINO FIM DE REDE LM;UN;INSTALAR;0.5; LM 
6432;INST ISOLADOR PINO TANGENTE LM;UN;INSTALAR;0.5; LM 
6309;INST PARA-RAIOS RD <34,5 KV LM;UN;INSTALAR;1; LM 
6635;INST PLACA ALUS LM;UN;INSTALAR;60; LM 
6459;INST SEPARADOR VERTICAL 50/185MMý LM;UN;INSTALAR;2; LM 
8091;INST SUP P/TRANSF <69KV LM;UN;INSTALAR;0.4; LM 
7292;INST AFAST RD SEC 500MM LM;UN;INSTALAR;0.12; LM 
7295;INST AMARRACAO MT/BT LM;UN;INSTALAR;0.06; LM 
6241;INST ATER POR HASTE LM;UN;INSTALAR;0.5; LM 
6878;INST CB AL MULTIPLEX TODOS LM;KM;INSTALAR;54.67; LM 
6385;INST CABO AL NU  =<2/0CA/CAAAWG LM;KM;INSTALAR;23; LM 
6384;INST CABO AL NU >2/0CA/CAAAWG LM;KM;INSTALAR;28; LM 
6399;INST CB AL PROTEG =<95MMý LM;KM;INSTALAR;46; LM 
6474;INST CB AL PROTEG >95MMý LM;KM;INSTALAR;56; LM 
6877;SERV OFIC INST CABO MENS CORD ACO LM;METRO;INSTALAR;0.02; LM 
6549;INST CAIXA MED CP TRAFO ELETROM LM;UN;INSTALAR;4.33; LM 
6396;INST BANCO CAPACITOR 300KVAR LM;CJ;INSTALAR;11.28; LM 
6397;INST BANCO CAPACITOR 600KVAR LM;CJ;INSTALAR;11.88; LM 
6322;INST BANCO CAPACITOR 900KVAR LM;CJ;INSTALAR;12.48; LM 
6398;INST CAPACITOR DE MT MONOPOLAR LM;UN;INSTALAR;1; LM 
6071;INST CHAVE FUSIVEL < 34,5 KV LM;UN;INSTALAR;1; LM 
6072;INST CHAVE FUSIVEL => 34,5KV LM;UN;INSTALAR;1; LM 
6233;INST CINTA CX CP REDE PST LM;UN;INSTALAR;0.5; LM 
6234;INST CONEC RD PRIM LM;UN;INSTALAR;0.2; LM 
6235;INST CONEC RD SEC LM;UN;INSTALAR;0.1; LM 
6409;INST CRUZAMENTO AEREO BT FLY TAP LM;UN;INSTALAR;0.2; LM 
6408;INST CRUZAMENTO AEREO MT FLY TAP  LM;UN;INSTALAR;0.4; LM 
7338;INST CRZ DUP BAS DE EQ ESP MAD OU FIB LM;UN;INSTALAR;3.33; LM 
7339;INST CRZ DUP BAS EQ ESP CONC LM;UN;INSTALAR;6.67; LM 
6462;INST EMENDA COND C/LUVA PREF LM;UN;INSTALAR;0.6; LM 
6319;INST EMENDA COND PRIM/SEC NU LM;UN;INSTALAR;0.6; LM 
6417;INST ESCORA SUBSOLO PST EXISTENTE-02 ESC;UN;INSTALAR;0.75; LM 
6427;INST ESPACADOR LOSANG 35A185MMý LM;UN;INSTALAR;1; LM 
6418;INST ESPACADOR REDE BT LM;UN;INSTALAR;0.15; LM 
6421;INST ESTAI ANCORA CAVA SIMPLES LM;UN;INSTALAR;5; LM 
6560;INST ESTAI ANCORA EQUIP S/EXPLOSIVO LM;UN;INSTALAR;9.5; LM 
6422;INST ESTAI CRUZETA LM;UN;INSTALAR;2.5; LM 
6416;INST ESCORA SUBSOLO PST A IMPLANT-02 ESC;UN;INSTALAR;1.5; LM 
6428;INST ESTRIBO REDE BT LM;UN;INSTALAR;0.1; LM 
6244;INST ESTRIBO REDE MT LM;UN;INSTALAR;0.2; LM 
6424;INST ESTR PRIM CE1/CE1-A/CE2 LM;UN;INSTALAR;2; LM 
6574;INST ESTR PRIM CE1-C LM;UN;INSTALAR;2; LM 
6579;INST ESTR PRIM CE-CF LM;UN;INSTALAR;5; LM 
6580;INST ESTR PRIM CE-CS LM;UN;INSTALAR;5; LM 
6581;INST ESTR PRIM CEE-CS LM;UN;INSTALAR;5; LM 
6582;INST ESTR PRIM DN1 LM;UN;INSTALAR;5; LM 
6583;INST ESTR PRIM DN2 LM;UN;INSTALAR;5; LM 
6584;INST ESTR PRIM DN3 LM;UN;INSTALAR;5; LM 
6586;INST ESTR PRIM DN4-SEM CHAVE LM;UN;INSTALAR;5; LM 
6325;INST ESTRUTURA PRIM HS LM;UN;INSTALAR;5; LM 
6386;INST ESTR PRIM HT LM;UN;INSTALAR;12; LM 
6387;INST ESTRUTURA PRIM N1/M1/B1 LM;UN;INSTALAR;2; LM 
6388;INST ESTRUTURA PRIM N2/M2/B2/B2-E LM;UN;INSTALAR;2; LM 
7395;INST ESTR. PRIM N3, M3, B3 CRZ CONC LM;UN;INSTALAR;7.48; LM 
6389;INST ESTR PRIM N3/B3/T3 LM;UN;INSTALAR;5; LM 
6391;INST ESTR PRIM N3-2/M3-2/N2-3/M2-3 LM;UN;INSTALAR;5; LM 
6327;INST ESTR PRIM N3-N3/M3-M3 LM;UN;INSTALAR;5; LM 
7396;INST ESTR. PRIM N4, M4, B4 CRZ CONC LM;UN;INSTALAR;7.5; LM 
6392;INST ESTR PRIM N4/B4/T4 LM;UN;INSTALAR;5; LM 
6594;INST ESTR PRIM N4/N4E/M4/B4/B4E C/CH LM;UN;INSTALAR;7; LM 
